timestamp,row,col,correct
1728623836.9561274,3,,False
1728623838.0754006,,3,False
1728623839.1976843,,4,False
1728623840.3118174,2,,False
1728623841.4283483,1,,True
1728623842.5480855,,0,False
1728623843.6617079,,1,False
1728623844.7757726,,2,True
1728623845.888553,0,,False
1728623847.0037558,4,,False
1728623848.1201937,0,,False
1728623849.236462,,2,True
1728623850.3515675,,4,False
1728623851.470845,3,,False
1728623852.5852158,,1,False
1728623856.1167166,4,,False
1728623857.2333033,2,,False
1728623858.3452914,,0,False
1728623859.4543538,1,,True
1728623860.570114,,3,False
1728623861.6834023,4,,False
1728623862.7980216,,1,False
1728623863.9102411,,2,True
1728623865.0192776,,3,False
1728623866.133885,3,,False
1728623867.246069,1,,True
1728623868.3691185,2,,False
1728623869.4815688,,4,False
1728623870.589833,,0,False
1728623871.7060635,0,,False
1728623872.816414,0,,False
1728623877.8303447,,3,False
1728623878.945672,,0,False
1728623880.0595999,2,,False
1728623881.1749704,,1,False
1728623882.2895012,1,,False
1728623883.4068356,,2,False
1728623884.5254967,,4,True
1728623885.6392343,4,,False
1728623886.754023,3,,False
1728623887.8642406,2,,False
1728623888.979048,,4,True
1728623890.0898206,1,,False
1728623891.2067072,,0,False
1728623892.3201013,,2,False
1728623893.4435496,,3,False
1728623894.5565243,4,,False
1728623895.6692195,3,,False
1728623896.782833,0,,True
1728623897.8940535,,1,False
